Data (ano/mês/dia),Distância entre a Terra e a Lua (em UA), Constelação que a Lua estará
2019/9/29, 0.0023969628382474184, ('Vir' - 'Virgo')
2019/2/18, 0.0023973085917532444, ('Cnc' - 'Cancer')
2019/1/23, 0.00239746761508286, ('Leo' - 'Leo')
2019/9/1, 0.002399117685854435, ('Vir' - 'Virgo')
2019/9/27, 0.0023993575014173985, ('Leo' - 'Leo')
2019/2/21, 0.00240223272703588, ('Leo' - 'Leo')
2019/3/20, 0.0024024699814617634, ('Leo' - 'Leo')
2019/8/2, 0.0024029577616602182, ('Leo' - 'Leo')
2019/8/3, 0.002405280014500022, ('Leo' - 'Leo')
2019/8/29, 0.0024053757078945637, ('Cnc' - 'Cancer')
2019/3/19, 0.0024062474258244038, ('Leo' - 'Leo')
2019/1/20, 0.002410473767668009, ('Gem' - 'Gemini')
2019/3/21, 0.0024105531629174948, ('Vir' - 'Virgo')
2019/8/1, 0.0024124453775584698, ('Cnc' - 'Cancer')
2019/9/30, 0.0024145091883838177, ('Vir' - 'Virgo')
2019/10/26, 0.002416255883872509, ('Vir' - 'Virgo')
2019/10/27, 0.0024168905802071095, ('Vir' - 'Virgo')
2019/1/24, 0.0024177420418709517, ('Leo' - 'Leo')
2019/9/26, 0.002418367424979806, ('Leo' - 'Leo')
2019/8/4, 0.00241860537789762, ('Leo' - 'Leo')
2019/2/17, 0.002420585136860609, ('Gem' - 'Gemini')
2019/3/18, 0.00242087384685874, ('Cnc' - 'Cancer')
2019/9/2, 0.0024214680306613445, ('Vir' - 'Virgo')
2019/10/25, 0.0024257830809801817, ('Leo' - 'Leo')
2019/10/28, 0.0024284024257212877, ('Vir' - 'Virgo')
2019/2/22, 0.0024286117404699326, ('Vir' - 'Virgo')
2019/3/22, 0.002430164720863104, ('Vir' - 'Virgo')
2019/8/28, 0.002431478351354599, ('Cnc' - 'Cancer')
2019/7/5, 0.0024315533228218555, ('Cnc' - 'Cancer')
2019/7/31, 0.002433209214359522, ('Gem' - 'Gemini')
2019/7/6, 0.002434088382869959, ('Leo' - 'Leo')
2019/4/17, 0.0024345864076167345, ('Vir' - 'Virgo')
2019/4/16, 0.002438087947666645, ('Leo' - 'Leo')
2019/7/4, 0.0024381198454648256, ('Cnc' - 'Cancer')
2019/1/19, 0.002438789000734687, ('Ori' - 'Orion')
2019/4/18, 0.002439785050228238, ('Vir' - 'Virgo')
2019/8/5, 0.002441020216792822, ('Vir' - 'Virgo')
2019/10/1, 0.002442765049636364, ('Lib' - 'Libra')
2019/10/24, 0.0024437655229121447, ('Leo' - 'Leo')
2019/3/17, 0.0024442721623927355, ('Cnc' - 'Cancer')
2019/7/7, 0.0024445957969874144, ('Leo' - 'Leo')
